Script,PiEst,NumIters,ProcTime,Status,Duration,Error
Python,3.141122133,15000000,60.5221087,Success,1,0.00047052
Python,3.14,15000000,-99,Failure,1,0.001592654
Python,3.1413728,7500000,30.77012799,Success,1,0.000219854
Python,3.14,750000000,-99,Failure,1,0.001592654
Python,3.1408944,5000000,19.99008244,Success,1.999,0.000698254
Python,3.140733333,1500000,6.241559104,Success,0.624,0.00085932
Python,3.14,25000000,-99,Failure,1,0.001592654
Python,3.14,50000000,-99,Failure,1,0.001592654
Python,3.14,50000000,-99,Failure,1,0.001592654
Python,3.14,100000000,-99,Failure,1,0.001592654
Python,3.1401552,10000000,40.16891855,Success,1,0.001437454
Python,3.141184,10000000,40.90556428,Success,1,0.000408654
Python,3.1412444,10000000,40.60745721,Success,1,0.000348254
Python,3.1410708,10000000,40.69217548,Success,1,0.000521854
Python,3.14086,1000000,4.207189591,Success,0.421,0.000732654
Python,3.13592,100000,0.422039117,Success,0.042,0.005672654
Python,3.139092,1000000,4.17550904,Success,0.4,0.002500654
R,3.1416,500000000,416.749,Success,360,7.34641E-06
R,3.145555,500000000,-99,Failure,0.5,0.003962346
R,3.1415,100000000,85.422,Success,77,9.26536E-05
R,3.1415,50000000,41.148,Success,37,9.26536E-05
R,3.141,10000000,8.775,Success,8,0.000592654
R,3.1425,1000000,1.023,Success,0.102,0.000907346
R,3.1435,100000,0.116,Success,0.012,0.001907346
R,3.1404,1000000,0.913,Success,0.091,0.001192654
R,3.1429,1000000,0.882,Success,0.088,0.001307346
R,3.1428,1000000,0.872,Success,0.087,0.001207346
R,3.1439,1000000,1.002,Success,0.1,0.002307346
R,3.1433,1000000,1.042,Success,0.104,0.001707346
R,3.1421,1000000,0.912,Success,0.91,0.000507346
R,3.1379,1000000,1.055,Success,0.1,0.003692654
R,3.1378,1000000,0.005,Success,0.001,0.003792654
PySpark,3.141592986,1E+11,10.9640446,Success,1560,3.3237E-07
PySpark,3.141589011,10000000000,1.195983057,Success,180,3.64219E-06
PySpark,3.14157553,1000000000,0.135799631,Success,15,1.71236E-05
PySpark,3.14162376,100000000,0.042432698,Success,2,3.11064E-05
PySpark,3.1416256,10000000,0.035351378,Success,0.004,3.29464E-05
PySpark,3.142226,1000000,0.033368463,Success,0.003,0.000633346
PySpark,3.13946,100000,0.033309299,Success,0.003,0.002132654
PySpark,3.141078,1000000,0.031376375,Success,0.003,0.000514654
PySpark4Part,3.141592256,1E+11,17.20231933,Success,3000,3.9791E-07
PySpark4Part,3.141397,10000000,0.078563188,Success,7,0.000195654
PySpark4Part,3.141588968,1000000000,0.06,Success,0.003,3.68559E-06
PySpark4Part,3.141650942,1000000000,0.265499886,success,37,5.82884E-05
PySpark16Part,3.14154444,100000000,0.057828164,Success,3,4.82136E-05
PySpark16Part,3.141588968,1000000000,0.057828164,success,30,3.68559E-06
PySpark16Part,3.1415142,10000000,0.039172666,Success,1,7.84536E-05
PySpark16Part,3.141168,1000000,0.034190888,Success,0.004,0.000424654
PySpark8Part,3.14147756,100000000,0.069307655,Success,6,0.000115094
PySpark8Part,3.141566744,1000000000,0.374642162,Success,61,2.59096E-05
PySpark8Part,3.141596278,1E+11,31.88165191,success,5760,3.62393E-06
PySpark8Part,3.141600138,10000000000,3.283195962,Success,600,7.48421E-06